method,family,seed,split,point_id,projector_error,e1_abs_error,e2_abs_error,trace_abs_error,residual_rms,orthogonality_error,hermiticity_defect_raw,internal_gap,external_gap,trial_rank,route,tail_ratio,latency_ms
sc_hybrid25,gaussian_honeycomb,42,iid_hidden,v3-pilot-gaussian_honeycomb-iid-001,0.09006402084951004,0.039472006261348724,0.033442117273807526,0.07291412353515625,0.352873831987381,1.7653884909485384e-07,5.163220180293138e-07,0.013562781966745763,0.30289332355814963,25,not_applicable,nan,61.85283279046416
sr_routed25,gaussian_honeycomb,42,iid_hidden,v3-pilot-gaussian_honeycomb-iid-001,0.09006402084951004,0.039472006261348724,0.033442117273807526,0.07291412353515625,0.352873831987381,1.7653884909485384e-07,5.163220180293138e-07,0.013562781966745763,0.30289332355814963,25,hybrid,0.8580533862113953,69.41225007176399
kinetic_fourier25,gaussian_honeycomb,42,exact_cluster,v3-pilot-gaussian_honeycomb-exact-000,0.05733291362618204,0.014384634792804718,0.014384716749191284,0.028769351541996002,0.22032590210437775,1.7917219685692487e-07,1.6641637046177493e-07,3.010577898088229e-13,0.1115971440676102,27,not_applicable,nan,33.45112502574921
fourier_shell3,gaussian_honeycomb,42,exact_cluster,v3-pilot-gaussian_honeycomb-exact-000,0.045433531752161686,0.010713212192058563,0.011148825287818909,0.021862037479877472,0.20959684252738953,1.518295513758261e-07,3.2669882443769893e-07,3.010577898088229e-13,0.1115971440676102,37,not_applicable,nan,60.94354181550443
wang_xie_adapted,gaussian_honeycomb,42,exact_cluster,v3-pilot-gaussian_honeycomb-exact-000,0.0581526034264496,0.008855156600475311,0.012088596820831299,0.02094375342130661,0.19993555545806885,6.355837756100158e-08,3.4134185966649966e-07,3.010577898088229e-13,0.1115971440676102,2,not_applicable,nan,0.7843330968171358
dai_adapted,gaussian_honeycomb,42,exact_cluster,v3-pilot-gaussian_honeycomb-exact-000,0.47903899505441255,0.059081874787807465,0.12989726662635803,0.1889791488647461,0.2549019753932953,7.947863067681027e-08,4.742714008898474e-05,3.010577898088229e-13,0.1115971440676102,6,not_applicable,nan,109.80341606773436
long_anchor,gaussian_honeycomb,42,exact_cluster,v3-pilot-gaussian_honeycomb-exact-000,0.09788586359699744,0.011671148240566254,0.013937920331954956,0.02560906857252121,0.20180194079875946,7.37843444120756e-08,1.729319052401479e-07,3.010577898088229e-13,0.1115971440676102,2,not_applicable,nan,0.9191660210490227
sc_narr_shell1,gaussian_honeycomb,42,exact_cluster,v3-pilot-gaussian_honeycomb-exact-000,0.049037147304491394,0.009066205471754074,0.011388890445232391,0.020455095916986465,0.19743648171424866,1.1287549872562863e-07,7.918913524918025e-08,3.010577898088229e-13,0.1115971440676102,9,not_applicable,nan,37.53433399833739
sc_narr,gaussian_honeycomb,42,exact_cluster,v3-pilot-gaussian_honeycomb-exact-000,0.04390886133104203,0.00882156565785408,0.010472521185874939,0.01929408684372902,0.1968388557434082,3.629713085651076e-08,1.2265120119536732e-07,3.010577898088229e-13,0.1115971440676102,21,not_applicable,nan,53.83183294907212
sc_hybrid25,gaussian_honeycomb,42,exact_cluster,v3-pilot-gaussian_honeycomb-exact-000,0.041828370295315484,0.008213423192501068,0.010299034416675568,0.018512457609176636,0.19631925225257874,1.0557496255003684e-07,2.3778214597314218e-07,3.010577898088229e-13,0.1115971440676102,25,not_applicable,nan,61.40633299946785
