method,family,seed,split,point_id,projector_error,e1_abs_error,e2_abs_error,trace_abs_error,residual_rms,orthogonality_error,hermiticity_defect_raw,internal_gap,external_gap,trial_rank,route,tail_ratio,latency_ms
wang_xie_adapted,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-003,0.04152691622224891,0.0025423765182495117,0.002144530415534973,0.004686906933784485,0.051102764904499054,1.2346752031877628e-07,9.342321760641425e-08,0.007306524617777588,0.34156210191309977,2,not_applicable,nan,1.0446421802043915
dai_adapted,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-003,0.303675605219107,0.048171937465667725,0.10874325037002563,0.15691518783569336,0.24147163331508636,3.8888475106801934e-08,0.0010659147519618273,0.007306524617777588,0.34156210191309977,6,not_applicable,nan,136.08145527541637
long_anchor,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-003,0.0662791500639609,0.005093127489089966,0.005534827709197998,0.010627955198287964,0.06870141625404358,9.880804563433543e-08,7.749233787990306e-08,0.007306524617777588,0.34156210191309977,2,not_applicable,nan,1.2210458517074585
sc_narr_shell1,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-003,0.03657898052203294,0.0038069486618041992,0.0009685605764389038,0.004775509238243103,0.05232682079076767,8.683922358976304e-08,4.147090848505286e-08,0.007306524617777588,0.34156210191309977,9,not_applicable,nan,45.23653723299503
sc_narr,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-003,0.016173528766754007,0.0010648369789123535,0.0004733353853225708,0.0015381723642349243,0.035634178668260574,9.854769178474498e-08,1.1425095181039069e-07,0.007306524617777588,0.34156210191309977,21,not_applicable,nan,101.10445134341717
sc_hybrid25,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-003,0.007271039377025384,0.0001748502254486084,0.0002033710479736328,0.0003782212734222412,0.019310707226395607,1.4248691537765978e-07,8.316094834981413e-08,0.007306524617777588,0.34156210191309977,25,not_applicable,nan,128.3001583069563
sr_routed25,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-003,0.00653928190023756,0.00011502206325531006,0.0001888871192932129,0.00030390918254852295,0.0170331709086895,7.732684159655889e-08,3.15541548445708e-08,0.007306524617777588,0.34156210191309977,25,fourier,3.499968259548618e-14,153.00860814750195
fourier_shell2,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-003,0.03206151395518541,0.0019088536500930786,0.0027072876691818237,0.004616141319274902,0.05557399243116379,3.779158386230108e-08,5.41843867551961e-08,0.007306524617777588,0.34156210191309977,19,not_applicable,nan,58.09227004647255
kinetic_fourier25,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-004,0.00584057343756515,8.444488048553467e-05,0.0001528412103652954,0.00023728609085083008,0.014852024614810944,1.269012916971235e-08,5.311735407076412e-08,0.0018250121502267624,0.3320882136978962,25,not_applicable,nan,99.06273148953915
fourier_shell3,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-004,0.0018623576710704503,1.1980533599853516e-05,2.1517276763916016e-05,3.349781036376953e-05,0.0064576477743685246,6.23386737785836e-08,5.235039779449835e-08,0.0018250121502267624,0.3320882136978962,37,not_applicable,nan,238.25807683169842
